storm_id,name,year,basin,latitude,longitude,max_winds,min_pressure,eye_radius_obs,eye_radius_source,R_vortex_km,H_km,storm_stage,measurement_time,data_quality,category
AL342018,Michael,2018,AL,30.2,-85.2,160,919,29.0,Aircraft,273.2776,13.9448832,Cat5,2018-08-15 12:00:00,A,5
AL352018,Florence,2018,AL,34.1,-77.9,150,937,47.0,Aircraft,260.41650000000004,13.533328000000001,Cat4,2018-08-15 12:00:00,A,4
AL362019,Lorenzo,2019,AL,36.5,-28.1,160,925,41.0,Aircraft,273.2776,13.9448832,Cat5,2019-08-15 12:00:00,A,5
AL372020,Laura,2020,AL,29.8,-93.3,150,926,34.0,Aircraft,260.41650000000004,13.533328000000001,Cat4,2020-08-15 12:00:00,A,4
AL382020,Eta,2020,AL,16.0,-83.6,150,923,31.0,Aircraft,260.41650000000004,13.533328000000001,Cat4,2020-08-15 12:00:00,A,4
AL392020,Iota,2020,AL,15.6,-82.9,160,917,28.0,Aircraft,273.2776,13.9448832,Cat5,2020-08-15 12:00:00,A,5
AL402021,Ida,2021,AL,29.2,-90.1,150,930,35.0,Aircraft,260.41650000000004,13.533328000000001,Cat4,2021-08-15 12:00:00,A,4
AL412021,Sam,2021,AL,28.2,-59.8,155,929,38.0,Aircraft,266.84705,13.7391056,Cat4,2021-08-15 12:00:00,A,4
EP422015,Patricia,2015,EP,19.3,-104.3,215,872,18.0,Aircraft,344.01365,16.0,Cat5,2015-08-15 12:00:00,A,5
EP431997,Linda,1997,EP,18.0,-112.5,185,902,22.0,Aircraft,305.43035,14.9737712,Cat5,1997-08-15 12:00:00,A,5
EP442002,Kenna,2002,EP,21.8,-105.7,165,913,25.0,Aircraft,279.70815000000005,14.1506608,Cat5,2002-08-15 12:00:00,A,5
EP452009,Rick,2009,EP,18.4,-105.3,180,906,21.0,Aircraft,298.9998,14.7679936,Cat5,2009-08-15 12:00:00,A,5
EP462014,Odile,2014,EP,23.2,-109.9,145,918,32.0,Aircraft,253.98595,13.3275504,Cat4,2014-08-15 12:00:00,A,4
EP472016,Newton,2016,EP,23.0,-109.3,90,969,38.0,Aircraft,183.2499,11.0639968,Cat1,2016-08-15 12:00:00,A,1
EP482018,Willa,2018,EP,21.8,-105.8,160,925,26.0,Aircraft,273.2776,13.9448832,Cat5,2018-08-15 12:00:00,A,5
EP492020,Genevieve,2020,EP,18.8,-110.2,130,950,33.0,Aircraft,234.6943,12.7102176,Cat4,2020-08-15 12:00:00,A,4
EP502021,Nora,2021,EP,25.4,-109.5,85,982,42.0,Aircraft,176.81935000000001,10.8582192,Cat1,2021-08-15 12:00:00,A,1
EP512022,Kay,2022,EP,22.8,-109.8,105,968,37.0,Aircraft,202.54155,11.6813296,Cat2,2022-08-15 12:00:00,A,2
WP521979,Tip,1979,WP,19.0,138.0,190,870,85.0,Aircraft,311.8609,15.1795488,Cat5,1979-08-15 12:00:00,B,5
WP532010,Megi,2010,WP,17.1,121.9,185,885,19.0,Aircraft,305.43035,14.9737712,Cat5,2010-08-15 12:00:00,A,5
WP542013,Haiyan,2013,WP,11.1,125.7,195,895,15.0,Aircraft,318.29145,15.3853264,Cat5,2013-08-15 12:00:00,A,5
WP552021,Surigae,2021,WP,16.8,129.2,190,895,17.0,Aircraft,311.8609,15.1795488,Cat5,2021-08-15 12:00:00,A,5
WP562023,Mawar,2023,WP,13.4,144.8,185,900,16.0,Aircraft,305.43035,14.9737712,Cat5,2023-08-15 12:00:00,A,5
